,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,coquimbo,-29.95,-71.34,58.73,77,0,11.5,CL,1658856534
1,dalen,52.7,6.76,67.05,62,98,11.01,NL,1658856535
2,komsomolskiy,40.43,71.72,90.32,31,12,6.91,UZ,1658856535
3,buraydah,26.33,43.98,104.45,11,89,8.23,SA,1658856535
4,kapaa,22.08,-159.32,79.12,80,0,18.41,US,1658856536
5,bilibino,68.05,166.44,36.75,78,62,6.6,RU,1658856536
6,santa marta,11.24,-74.2,87.85,66,75,6.91,CO,1658856536
7,busselton,-33.65,115.33,49.84,78,20,6.8,AU,1658856537
8,tuktoyaktuk,69.45,-133.04,59.0,94,100,3.44,CA,1658856537
9,victoria,22.29,114.16,87.33,77,54,4.0,HK,1658856383
10,mahebourg,-20.41,57.7,71.26,94,75,6.91,MU,1658856538
11,oktyabrskoye,43.06,44.74,71.35,68,40,2.24,RU,1658856538
12,hermanus,-34.42,19.23,53.8,86,81,6.29,ZA,1658856538
13,high level,58.52,-117.14,64.51,82,75,4.61,CA,1658856539
14,port lincoln,-34.73,135.87,52.05,79,82,10.6,AU,1658856539
15,barrow,71.29,-156.79,35.62,87,100,23.02,US,1658856539
16,fortuna,40.6,-124.16,64.92,81,50,1.99,US,1658856540
17,sola,-13.88,167.55,79.97,78,13,11.77,VU,1658856540
18,butaritari,3.07,172.79,81.9,73,40,18.7,KI,1658856540
19,jamestown,42.1,-79.24,76.05,58,75,5.99,US,1658856541
20,yellowknife,62.46,-114.35,64.92,55,40,2.3,CA,1658856541
21,mar del plata,-38.0,-57.56,59.02,58,100,1.99,AR,1658856542
22,vaini,-21.2,-175.2,69.96,94,20,4.61,TO,1658856542
23,cape town,-33.93,18.42,59.27,79,20,5.75,ZA,1658856542
24,nikolskoye,59.7,30.79,76.8,56,63,5.97,RU,1658856543
25,quimper,48.0,-4.1,70.38,46,0,12.66,FR,1658856543
26,xam nua,20.42,104.04,69.73,76,25,2.51,LA,1658856544
27,avarua,-21.21,-159.78,69.85,73,75,8.05,CK,1658856436
28,derzhavinsk,51.1,66.32,76.62,35,97,12.5,KZ,1658856544
29,geraldton,-28.77,114.6,43.21,93,0,10.36,AU,1658856321
30,leningradskiy,69.38,178.42,33.17,99,100,10.09,RU,1658856255
31,port alfred,-33.59,26.89,63.7,65,1,13.13,ZA,1658856545
32,porto novo,6.5,2.6,78.62,83,99,11.32,BJ,1658856317
33,saint george,37.1,-113.58,84.63,60,0,3.0,US,1658856545
34,punta arenas,-53.15,-70.92,37.42,74,99,7.09,CL,1658856272
35,pacific grove,36.62,-121.92,64.81,87,100,4.0,US,1658856321
36,taksimo,56.34,114.88,66.34,81,86,1.07,RU,1658856426
37,lasa,46.62,10.7,76.08,78,43,5.28,IT,1658856546
38,qaanaaq,77.48,-69.36,43.23,62,2,1.5,GL,1658856546
39,ondangwa,-17.92,15.95,73.58,21,31,10.09,NA,1658856547
40,groa,62.65,8.72,55.92,95,100,7.99,NO,1658856547
41,hilo,19.73,-155.09,77.29,95,75,5.75,US,1658856403
42,hobart,-42.88,147.33,46.26,94,75,6.91,AU,1658856521
43,hearst,49.68,-83.67,75.45,42,52,8.25,CA,1658856249
44,tuatapere,-46.13,167.68,44.58,95,100,9.6,NZ,1658856548
45,svetlyy,54.68,20.13,69.96,76,100,10.07,RU,1658856548
46,lake city,30.19,-82.64,91.85,58,75,4.61,US,1658856266
47,pevek,69.7,170.31,32.47,85,59,4.14,RU,1658856548
48,ushuaia,-54.8,-68.3,38.86,52,20,4.61,AR,1658856549
49,rikitea,-23.12,-134.97,75.25,74,100,14.54,PF,1658856549
50,khatanga,71.97,102.5,68.2,53,100,7.63,RU,1658856550
51,zhangye,38.93,100.45,69.75,42,78,8.41,CN,1658856550
52,bilma,18.69,12.92,101.98,9,22,6.24,NE,1658856550
53,saskylakh,71.92,114.08,65.44,70,66,2.13,RU,1658856551
54,gizo,-8.1,156.84,81.45,76,94,5.35,SB,1658856551
55,caborca,30.58,-111.1,82.71,52,84,1.9,MX,1658856551
56,provideniya,64.38,-173.3,42.37,73,54,6.02,RU,1658856331
57,sao filipe,14.9,-24.5,78.4,80,81,3.31,CV,1658856552
58,arraial do cabo,-22.97,-42.03,78.76,73,20,20.71,BR,1658856304
59,weinan,34.5,109.51,78.66,86,39,1.95,CN,1658856552
60,lata,40.16,-8.33,78.03,42,0,12.88,PT,1658856552
61,kununurra,-15.77,128.73,75.18,29,84,13.8,AU,1658856553
62,mount isa,-20.73,139.5,56.97,38,0,13.8,AU,1658856363
63,haimen,23.19,116.61,84.09,85,36,6.11,CN,1658856553
64,dunmore east,52.15,-6.99,64.69,66,0,5.75,IE,1658856554
65,dolinsk,47.35,142.8,64.02,92,94,1.28,RU,1658856554
66,ialibu,-6.28,143.99,56.37,99,100,1.16,PG,1658856554
67,hambantota,6.12,81.12,77.99,86,95,8.66,LK,1658856555
68,alyangula,-13.85,136.42,68.4,82,1,9.57,AU,1658856555
69,esperance,-33.87,121.9,53.44,82,95,10.42,AU,1658856555
70,pauini,-7.71,-66.98,96.85,25,2,4.32,BR,1658856556
71,saldanha,-33.01,17.94,55.45,85,38,0.63,ZA,1658856556
72,hithadhoo,-0.6,73.08,82.06,78,92,13.09,MV,1658856557
73,gombong,-7.61,109.51,71.74,91,42,2.68,ID,1658856557
74,saint-francois,46.42,3.91,78.24,38,0,12.66,FR,1658856557
75,wentzville,38.81,-90.85,71.28,94,100,3.0,US,1658856422
76,sao joao da barra,-21.64,-41.05,78.89,69,28,10.87,BR,1658856558
77,hasaki,35.73,140.83,77.4,93,94,17.0,JP,1658856558
78,vila franca do campo,37.72,-25.43,75.61,82,61,6.24,PT,1658856559
79,urengoy,65.97,78.37,56.5,61,55,7.16,RU,1658856559
80,challapata,-18.9,-66.77,56.26,29,70,6.13,BO,1658856559
81,oranjemund,-28.55,16.43,54.75,85,6,3.98,NA,1658856560
82,ahipara,-35.17,173.17,55.62,80,99,17.65,NZ,1658856560
83,avera,33.19,-82.53,91.45,43,100,10.33,US,1658856561
84,basco,20.45,121.97,84.94,74,26,7.18,PH,1658856561
85,srivardhan,18.03,73.02,79.97,83,100,0.76,IN,1658856561
86,harper,4.38,-7.72,76.77,79,98,8.68,LR,1658856562
87,chuy,-33.7,-53.46,66.83,81,99,7.14,UY,1658856562
88,shelburne,44.08,-80.2,71.24,60,84,7.31,CA,1658856562
89,vanavara,60.34,102.28,59.11,97,39,6.04,RU,1658856563
90,albany,42.6,-73.97,77.29,51,90,1.01,US,1658856273
91,atuona,-9.8,-139.03,77.07,76,5,17.49,PF,1658856563
92,melito di porto salvo,37.92,15.77,88.36,55,0,17.27,IT,1658856563
93,machala,-3.27,-79.97,76.95,78,100,3.44,EC,1658856564
94,moba,33.23,105.02,64.94,98,99,4.52,CN,1658856564
95,le port,-20.94,55.29,69.76,73,39,6.82,RE,1658856304
96,karratha,-20.74,116.85,68.56,33,54,6.82,AU,1658856564
97,buin,-33.73,-70.75,64.44,58,58,4.27,CL,1658856565
98,warragul,-38.17,145.93,48.09,87,51,5.12,AU,1658856565
99,carnarvon,-24.87,113.63,64.09,59,0,12.66,AU,1658856565
100,saint-philippe,-21.36,55.77,67.59,80,46,8.5,RE,1658856566
101,samarai,-10.62,150.67,78.44,84,100,7.43,PG,1658856566
102,berlevag,70.86,29.09,66.2,82,100,8.05,NO,1658856566
103,koutiala,12.39,-5.46,89.37,52,69,4.36,ML,1658856567
104,waipawa,-41.41,175.52,48.9,98,95,9.01,NZ,1658856567
105,sandovo,58.46,36.41,70.45,76,85,1.97,RU,1658856567
106,dire,12.28,-10.97,86.63,69,81,2.82,ML,1658856568
107,huejuquilla el alto,22.6,-103.87,68.07,66,100,1.45,MX,1658856568
108,padang,-0.95,100.35,76.95,86,59,3.11,ID,1658856568
109,moose factory,51.26,-80.61,62.6,72,40,4.61,CA,1658856569
110,rupert,42.62,-113.68,80.55,26,0,8.05,US,1658856569
111,tual,-5.67,132.75,79.16,80,52,21.81,ID,1658856569
112,caravelas,-17.71,-39.25,77.27,62,11,7.96,BR,1658856303
113,manbij,36.53,37.95,90.1,16,0,18.5,SY,1658856570
114,mirwah,13.92,43.92,73.83,52,94,11.01,YE,1658856570
115,ribeira grande,38.52,-28.7,81.0,78,40,10.36,PT,1658856570
116,tasiilaq,65.61,-37.64,44.76,93,100,2.01,GL,1658856571
117,yulara,-25.24,130.99,45.16,53,0,9.13,AU,1658856571
118,bluff,-46.6,168.33,44.8,90,100,23.89,NZ,1658856572
119,mataura,-46.19,168.86,44.47,97,100,7.85,NZ,1658856572
120,constitucion,-35.33,-72.42,55.44,86,100,11.07,CL,1658856573
121,kismayo,-0.36,42.55,75.88,79,11,19.06,SO,1658856573
122,pitimbu,-7.47,-34.81,82.99,73,65,11.79,BR,1658856573
123,beringovskiy,63.05,179.32,46.9,87,99,5.28,RU,1658856574
124,ostrovnoy,68.05,39.51,58.23,90,100,17.29,RU,1658856574
125,te anau,-45.42,167.72,42.19,97,100,3.8,NZ,1658856574
126,iqaluit,63.75,-68.51,51.53,76,20,6.91,CA,1658856575
127,souillac,-20.52,57.52,68.38,94,75,6.91,MU,1658856575
128,tazovskiy,67.47,78.7,54.55,69,97,7.27,RU,1658856575
129,elizabeth city,36.29,-76.25,91.42,58,40,16.11,US,1658856576
130,norman wells,65.28,-126.83,69.84,52,40,8.05,CA,1658856576
131,weihe,33.0,105.32,69.48,98,98,1.03,CN,1658856577
132,bredasdorp,-34.53,20.04,52.34,78,49,6.6,ZA,1658856577
133,opuwo,-18.06,13.84,71.82,22,46,4.23,NA,1658856325
134,salym,60.06,71.48,58.84,64,39,5.66,RU,1658856578
135,sika,13.35,-16.34,86.14,68,92,10.29,GM,1658856578
136,port hawkesbury,45.62,-61.35,82.89,74,20,6.91,CA,1658856578
137,tilichiki,60.47,166.1,49.35,77,97,3.58,RU,1658856579
138,naze,28.37,129.48,76.12,75,13,6.91,JP,1658856579
139,nioro,13.35,-15.75,86.76,64,87,8.1,GM,1658856579
140,linkou,45.3,130.28,68.34,93,52,2.3,CN,1658856580
141,mizan teferi,6.98,35.58,62.37,95,98,2.75,ET,1658856580
142,humen,22.82,113.67,88.05,68,53,10.47,CN,1658856580
143,grindavik,63.84,-22.43,54.07,94,100,18.41,IS,1658856580
144,nagar,27.43,77.1,84.79,70,72,8.59,IN,1658856581
145,castro,-24.79,-50.01,74.95,41,0,2.28,BR,1658856302
